Date,USD_MXN,Tasa_Fed_10Y,VIX
2021-01-05,19.94244956970215,0.9549999833106995,25.34000015258789
2021-01-06,19.90220069885254,1.0420000553131104,25.06999969482422
2021-01-07,19.65576934814453,1.0709999799728394,22.3700008392334
2021-01-08,20.000099182128906,1.1050000190734863,21.559999465942383
2021-01-11,20.05048942565918,1.1319999694824219,24.079999923706055
2021-01-12,20.062400817871094,1.1380000114440918,23.329999923706055
2021-01-13,19.794429779052734,1.0880000591278076,22.209999084472656
2021-01-14,19.836349487304688,1.128999948501587,23.25
2021-01-15,19.723350524902344,1.097000002861023,24.34000015258789
2021-01-19,19.695650100708008,1.0920000076293945,23.239999771118164
2021-01-20,19.63599967956543,1.090000033378601,21.579999923706055
2021-01-21,19.585010528564453,1.1089999675750732,21.31999969482422
2021-01-22,19.737060546875,1.090999960899353,21.90999984741211
2021-01-25,19.942880630493164,1.0399999618530273,23.190000534057617
2021-01-26,20.10516929626465,1.0399999618530273,23.020000457763672
2021-01-27,19.988300323486328,1.0140000581741333,37.209999084472656
2021-01-28,20.33152961730957,1.0570000410079956,30.209999084472656
2021-01-29,20.25225067138672,1.093000054359436,33.09000015258789
2021-02-01,20.50528907775879,1.0770000219345093,30.239999771118164
2021-02-02,20.368160247802734,1.1050000190734863,25.559999465942383
2021-02-03,20.137680053710938,1.13100004196167,22.90999984741211
2021-02-04,20.197080612182617,1.1390000581741333,21.770000457763672
2021-02-05,20.387189865112305,1.1699999570846558,20.8700008392334
2021-02-08,20.11138916015625,1.159999966621399,21.239999771118164
2021-02-09,20.103069305419922,1.156999945640564,21.6299991607666
2021-02-10,20.083850860595703,1.1330000162124634,21.989999771118164
2021-02-11,20.02928924560547,1.1579999923706055,21.25
2021-02-12,19.966279983520508,1.2000000476837158,19.969999313354492
2021-02-16,19.94930076599121,1.2990000247955322,21.459999084472656
2021-02-17,20.225540161132812,1.3009999990463257,21.5
2021-02-18,20.212539672851562,1.2869999408721924,22.489999771118164
2021-02-19,20.308229446411133,1.3450000286102295,22.049999237060547
2021-02-22,20.487449645996094,1.3700000047683716,23.450000762939453
